PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_req=1 ttl=64 time=40.2 ms
64 bytes from 10.0.0.2: icmp_req=2 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_req=3 ttl=64 time=40.1 ms
64 bytes from 10.0.0.2: icmp_req=4 ttl=64 time=40.0 ms
64 bytes from 10.0.0.2: icmp_req=5 ttl=64 time=40.1 ms
64 bytes from 10.0.0.2: icmp_req=6 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_req=7 ttl=64 time=40.1 ms
64 bytes from 10.0.0.2: icmp_req=8 ttl=64 time=40.1 ms
64 bytes from 10.0.0.2: icmp_req=9 ttl=64 time=40.2 ms
64 bytes from 10.0.0.2: icmp_req=10 ttl=64 time=40.0 ms
64 bytes from 10.0.0.2: icmp_req=11 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_req=12 ttl=64 time=40.2 ms
64 bytes from 10.0.0.2: icmp_req=13 ttl=64 time=40.1 ms
64 bytes from 10.0.0.2: icmp_req=14 ttl=64 time=40.4 ms
64 bytes from 10.0.0.2: icmp_req=15 ttl=64 time=40.0 ms
64 bytes from 10.0.0.2: icmp_req=16 ttl=64 time=40.2 ms
64 bytes from 10.0.0.2: icmp_req=17 ttl=64 time=40.1 ms
64 bytes from 10.0.0.2: icmp_req=18 ttl=64 time=40.0 ms
64 bytes from 10.0.0.2: icmp_req=19 ttl=64 time=40.1 ms
64 bytes from 10.0.0.2: icmp_req=20 ttl=64 time=40.1 ms
64 bytes from 10.0.0.2: icmp_req=21 ttl=64 time=40.2 ms
64 bytes from 10.0.0.2: icmp_req=22 ttl=64 time=40.1 ms
64 bytes from 10.0.0.2: icmp_req=23 ttl=64 time=40.1 ms
